Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/06 10:36:14 AM GMT+5:30,53,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,categories,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Never,Yes,Rarely,Sometimes,5,Yes,5,1,.,User interface ,361128
2023/06/07 11:08:52 PM GMT+5:30,24,Female,Less than once a month,Home and Kitchen;others,Yes,Rarely,Filter,First page,2,No,Rarely,High shipping costs,Rarely,No,Rarely,Yes,2,No,4,1,.,Scrolling option would be much better than going to next page,527189
2023/06/08 5:37:13 PM GMT+5:30,33,Female,Once a week,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,categories,Multiple pages,3,Yes,Never,Found a better price elsewhere,Rarely,No,Heavily,Sometimes,4,No,3,2,.,Irrelevant product suggestions,103220
2023/06/11 11:27:25 PM GMT+5:30,56,Others,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,nan,Multiple pages,2,Yes,Always,High shipping costs,Never,Yes,Rarely,Sometimes,5,No,2,3,Customer service ,Shipping speed and reliability,175745
2023/06/06 6:39:26 PM GMT+5:30,10,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,others,Multiple pages,1,No,Rarely,Changed my mind or no longer need the item,Always,No,Occasionally,Sometimes,4,Sometimes,5,3,All the above,Nothing,935097
2023/06/08 7:00:57 AM GMT+5:30,18,Others,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,categories,Multiple pages,4,Maybe,Often,High shipping costs,Never,Yes,Heavily,No,4,Sometimes,4,5,User-friendly website/app interface,Quality of product is very poor according to the big offers,467554
2023/06/08 5:28:09 PM GMT+5:30,54,Male,Once a month,Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,others,Multiple pages,1,Maybe,Rarely,others,Often,No,Never,Yes,3,No,2,3,.,User interface ,748993
2023/06/08 3:23:21 AM GMT+5:30,24,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,4,Maybe,Often,others,Always,No,Never,Yes,2,Sometimes,2,1,Customer service,Customer service responsiveness,943667
2023/06/12 3:27:59 PM GMT+5:30,23,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,First page,3,Maybe,Always,others,Always,Yes,Never,No,4,Sometimes,5,4,.,Nil,245409
2023/06/08 5:58:03 PM GMT+5:30,28,Prefer not to say,Multiple times a week,Beauty and Personal Care,Sometimes,Rarely,Filter,Multiple pages,4,No,Sometimes,Found a better price elsewhere,Rarely,Yes,Moderately,Yes,4,Yes,2,3,.,Shipping speed and reliability,779431
2023/06/08 5:46:49 PM GMT+5:30,59,Female,Once a week,Groceries and Gourmet Food;Home and Kitchen,No,Multiple times a day,Keyword,First page,2,No,Never,others,Often,Yes,Occasionally,No,5,Yes,3,1,Competitive prices,Product quality and accuracy,858779
2023/06/07 9:20:34 AM GMT+5:30,33,Male,Less than once a month,Beauty and Personal Care;others,Sometimes,Multiple times a day,Keyword,First page,3,Maybe,Sometimes,High shipping costs,Never,Yes,Moderately,No,4,Sometimes,4,1,Customer service ,Nil,348018
2023/06/08 7:50:55 PM GMT+5:30,63,Female,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,4,Maybe,Never,Changed my mind or no longer need the item,Always,No,Moderately,Yes,2,Sometimes,1,1,.,better app interface and lower shipping charges,304905
2023/06/11 11:10:59 PM GMT+5:30,44,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,nan,First page,5,Yes,Always,High shipping costs,Never,No,Occasionally,Sometimes,2,Sometimes,3,2,User-friendly website/app interface,Nothing,462520
2023/06/12 3:38:48 PM GMT+5:30,27,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,Filter,First page,2,Maybe,Sometimes,Found a better price elsewhere,Always,Yes,Rarely,No,2,Yes,1,3,User-friendly website/app interface,No problems with Amazon,971663
2023/06/04 6:01:59 PM GMT+5:30,44,Others,Few times a month,Clothing and Fashion,Yes,Rarely,nan,First page,2,Yes,Never,others,Always,No,Rarely,No,4,Sometimes,3,2,Wide product selection,I don't have any problem with Amazon,576733
2023/06/08 5:38:01 PM GMT+5:30,29,Others,Few times a month,Beauty and Personal Care;others,Sometimes,Multiple times a day,categories,First page,1,Yes,Rarely,Found a better price elsewhere,Rarely,No,Moderately,No,3,No,4,2,.,Customer service responsiveness,342364
2023/06/12 3:57:52 PM GMT+5:30,39,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,others,Multiple pages,1,Yes,Always,High shipping costs,Never,Yes,Occasionally,Sometimes,2,No,2,4,Customer service,better app interface and lower shipping charges,700291
2023/06/06 7:41:36 PM GMT+5:30,46,Female,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,categories,First page,1,Maybe,Always,Changed my mind or no longer need the item,Never,Yes,Never,No,1,Yes,1,5,Customer service,better app interface and lower shipping charges,237376
2023/06/11 10:45:34 PM GMT+5:30,4,Female,Few times a month,Beauty and Personal Care;Home and Kitchen;others,No,Few times a week,nan,First page,1,No,Sometimes,Changed my mind or no longer need the item,Always,No,Heavily,Sometimes,4,Yes,1,2,Wide product selection,User interface ,426713
2023/06/05 2:17:45 PM GMT+5:30,67,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,others,First page,2,Yes,Always,others,Always,Yes,Rarely,No,2,Yes,5,1,Customer service,Add more familiar brands to the list,208304
2023/06/11 10:53:44 PM GMT+5:30,5,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Rarely,Filter,Multiple pages,4,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Heavily,Sometimes,1,No,1,2,User-friendly website/app interface,Shipping speed and reliability,164186
2023/06/08 3:23:21 AM GMT+5:30,7,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,others,First page,4,Yes,Often,Found a better price elsewhere,Always,No,Moderately,No,3,Sometimes,1,3,Product recommendations,Add more familiar brands to the list,843915
2023/06/11 11:16:18 PM GMT+5:30,36,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Filter,First page,1,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,No,Rarely,Sometimes,4,Yes,2,5,Competitive prices,.,552488
2023/06/06 6:48:26 PM GMT+5:30,35,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,others,First page,4,Yes,Sometimes,others,Rarely,Yes,Moderately,No,4,Sometimes,4,4,Customer service,No problems with Amazon,827359
2023/06/06 7:40:11 PM GMT+5:30,52,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Filter,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Always,Yes,Moderately,Yes,4,Yes,3,2,All the above,User interface of app,220687
2023/06/06 6:43:32 PM GMT+5:30,41,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,categories,First page,3,Yes,Never,Found a better price elsewhere,Always,No,Moderately,Sometimes,5,Sometimes,2,1,Product recommendations,I don't have any problem with Amazon,894940
2023/06/07 6:31:23 PM GMT+5:30,57,Female,Once a week,Home and Kitchen,No,Few times a week,others,First page,3,Yes,Always,others,Never,No,Moderately,Sometimes,3,Sometimes,3,1,All the above,I don't have any problem with Amazon,842293
2023/06/05 8:50:24 PM GMT+5:30,3,Female,Less than once a month,others,No,Multiple times a day,nan,First page,4,No,Always,Changed my mind or no longer need the item,Rarely,No,Never,Sometimes,4,No,4,1,Quick delivery,Shipping speed and reliability,328841
2023/06/11 11:03:34 PM GMT+5:30,48,Prefer not to say,Multiple times a week,Groceries and Gourmet Food,Yes,Few times a month,nan,First page,5,Yes,Always,High shipping costs,Always,No,Occasionally,Sometimes,2,No,3,4,.,Reducing packaging waste,702124
2023/06/11 11:16:18 PM GMT+5:30,47,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Yes,Few times a month,Filter,First page,3,Maybe,Rarely,Found a better price elsewhere,Rarely,No,Occasionally,No,5,No,5,4,.,.,698109
2023/06/07 4:10:33 PM GMT+5:30,31,Male,Once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,nan,Multiple pages,5,Yes,Sometimes,High shipping costs,Always,Yes,Moderately,Sometimes,2,No,5,1,.,I have no problem with Amazon yet. But others tell me about the refund issues ,482418
2023/06/11 11:27:55 PM GMT+5:30,17,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a month,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Often,Yes,Rarely,No,4,No,4,5,Competitive prices,.,200753
2023/06/08 6:00:06 PM GMT+5:30,41,Others,Once a week,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,categories,First page,4,No,Always,High shipping costs,Always,Yes,Never,No,2,Yes,3,1,All the above,Nothing,791260
2023/06/09 10:25:27 AM GMT+5:30,65,Female,Once a month,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,nan,Multiple pages,4,Yes,Always,High shipping costs,Always,Yes,Heavily,Sometimes,3,Yes,1,5,Customer service ,UI,640751
2023/06/08 9:39:55 PM GMT+5:30,63,Male,Once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Rarely,nan,Multiple pages,4,No,Sometimes,others,Never,No,Rarely,Yes,3,Sometimes,4,4,Customer service ,I don't have any problem with Amazon,211203
2023/06/08 5:07:35 PM GMT+5:30,25,Male,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,3,Yes,Always,Found a better price elsewhere,Often,No,Never,Yes,4,Sometimes,1,5,All the above,Scrolling option would be much better than going to next page,771155
2023/06/07 5:26:20 PM GMT+5:30,67,Female,Less than once a month,Clothing and Fashion,Yes,Few times a month,Filter,First page,5,No,Always,High shipping costs,Rarely,Yes,Never,Yes,4,Sometimes,3,3,Quick delivery,Irrelevant product suggestions,114502
2023/06/08 3:26:03 AM GMT+5:30,54,Others,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Rarely,Keyword,First page,2,Maybe,Never,Changed my mind or no longer need the item,Rarely,Yes,Rarely,Sometimes,4,Sometimes,5,3,Product recommendations,Customer service responsiveness,497488
2023/06/07 9:23:41 PM GMT+5:30,40,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,3,No,Always,High shipping costs,Always,Yes,Moderately,Yes,2,Yes,2,2,Competitive prices,Scrolling option would be much better than going to next page,900828
2023/06/11 10:54:33 PM GMT+5:30,9,Others,Multiple times a week,Beauty and Personal Care;Home and Kitchen,No,Few times a week,others,Multiple pages,5,Maybe,Rarely,High shipping costs,Always,Yes,Moderately,Sometimes,2,Yes,5,3,User-friendly website/app interface,Scrolling option would be much better than going to next page,413401
2023/06/11 10:49:49 PM GMT+5:30,67,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,nan,Multiple pages,2,No,Rarely,others,Rarely,No,Heavily,Yes,1,Yes,4,4,Customer service,I don't have any problem with Amazon,273172
2023/06/09 7:23:09 PM GMT+5:30,67,Prefer not to say,Once a week,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Rarely,categories,Multiple pages,3,No,Often,Found a better price elsewhere,Rarely,Yes,Never,Yes,3,Yes,4,1,Quick delivery,Irrelevant product suggestions,263745
2023/06/11 11:21:30 PM GMT+5:30,47,Female,Less than once a month,Clothing and Fashion;others,Sometimes,Multiple times a day,Filter,Multiple pages,2,No,Rarely,others,Rarely,No,Never,No,4,Yes,4,1,Competitive prices,Nothing,986873
2023/06/04 7:23:21 PM GMT+5:30,9,Others,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,No,Multiple times a day,Filter,First page,2,Yes,Always,Changed my mind or no longer need the item,Rarely,No,Heavily,Yes,2,Sometimes,1,1,Quick delivery,Reducing packaging waste,569510
2023/06/11 11:15:37 PM GMT+5:30,47,Others,Multiple times a week,Clothing and Fashion;others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Yes,Always,High shipping costs,Often,No,Rarely,No,3,Sometimes,5,3,.,UI,623382
2023/06/11 11:22:19 PM GMT+5:30,42,Female,Less than once a month,Groceries and Gourmet Food,No,Few times a week,categories,Multiple pages,2,No,Never,High shipping costs,Sometimes,Yes,Heavily,Yes,3,Sometimes,3,1,Competitive prices,Irrelevant product suggestions,414552
2023/06/09 12:22:47 PM GMT+5:30,67,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion,No,Multiple times a day,nan,Multiple pages,4,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Never,No,1,Yes,4,1,Competitive prices,Shipping speed and reliability,966818
2023/06/09 7:22:11 PM GMT+5:30,62,Others,Once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,First page,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Never,Yes,4,Sometimes,5,5,.,I don't have any problem with Amazon,860594
2023/06/08 5:52:44 PM GMT+5:30,28,Others,Few times a month,Clothing and Fashion,No,Rarely,Filter,Multiple pages,2,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Rarely,Sometimes,5,Sometimes,5,3,Wide product selection,Quality of product is very poor according to the big offers,727611
2023/06/11 11:16:58 PM GMT+5:30,52,Others,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a week,Keyword,First page,3,Maybe,Always,Changed my mind or no longer need the item,Never,No,Moderately,Yes,3,Sometimes,3,4,Customer service ,.,771497
2023/06/06 6:38:45 PM GMT+5:30,65,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,categories,First page,2,Yes,Never,others,Always,Yes,Occasionally,Yes,1,Sometimes,5,3,Customer service,User interface of app,364805
2023/06/05 1:27:08 PM GMT+5:30,44,Prefer not to say,Once a month,Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,1,No,Often,Found a better price elsewhere,Always,No,Occasionally,Yes,4,Yes,2,4,Quick delivery,Nil,274942
2023/06/05 1:37:01 PM GMT+5:30,54,Prefer not to say,Multiple times a week,Clothing and Fashion;others,No,Multiple times a day,Keyword,First page,5,No,Rarely,others,Rarely,No,Heavily,Sometimes,1,No,1,3,User-friendly website/app interface,Quality of product is very poor according to the big offers,713184
2023/06/12 2:41:06 PM GMT+5:30,41,Prefer not to say,Less than once a month,Clothing and Fashion;others,Sometimes,Rarely,Filter,First page,2,No,Often,High shipping costs,Never,No,Rarely,Yes,3,Yes,4,3,Competitive prices,Irrelevant product suggestions,362188
2023/06/04 8:01:45 PM GMT+5:30,36,Others,Multiple times a week,Home and Kitchen;others,No,Few times a week,categories,First page,1,No,Never,others,Always,No,Moderately,Sometimes,1,Yes,1,4,All the above,Reducing packaging waste,369520
2023/06/08 3:25:14 AM GMT+5:30,37,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Filter,Multiple pages,3,Maybe,Sometimes,others,Rarely,Yes,Occasionally,No,2,Sometimes,1,1,All the above,UI,987841
2023/06/04 8:02:28 PM GMT+5:30,36,Male,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,3,Yes,Sometimes,High shipping costs,Often,No,Moderately,Yes,4,Yes,1,1,Competitive prices,Product quality and accuracy,185144
2023/06/08 5:14:30 PM GMT+5:30,6,Male,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,3,Yes,Never,High shipping costs,Often,Yes,Moderately,No,5,Sometimes,2,1,Customer service ,Irrelevant product suggestions,705061
2023/06/08 5:48:14 PM GMT+5:30,9,Male,Once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,nan,Multiple pages,5,Maybe,Sometimes,Changed my mind or no longer need the item,Always,Yes,Never,Yes,4,Sometimes,5,2,Customer service ,User interface ,279023
2023/06/07 9:35:23 PM GMT+5:30,50,Prefer not to say,Multiple times a week,Beauty and Personal Care,Yes,Multiple times a day,nan,First page,3,No,Often,others,Never,Yes,Moderately,Sometimes,2,Yes,2,5,.,Quality of product is very poor according to the big offers,647991
2023/06/05 2:10:33 PM GMT+5:30,16,Prefer not to say,Less than once a month,Beauty and Personal Care,Sometimes,Multiple times a day,Keyword,Multiple pages,5,Maybe,Often,Found a better price elsewhere,Sometimes,Yes,Never,No,1,No,3,1,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,526883
2023/06/07 10:40:10 PM GMT+5:30,39,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a week,nan,First page,4,No,Never,High shipping costs,Often,No,Moderately,No,4,Sometimes,1,4,Customer service,Scrolling option would be much better than going to next page,976236
2023/06/09 9:37:44 AM GMT+5:30,44,Male,Few times a month,Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,others,First page,3,Yes,Rarely,others,Sometimes,No,Heavily,No,5,Sometimes,2,5,User-friendly website/app interface,Nothing,383177
2023/06/08 5:59:25 PM GMT+5:30,29,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,others,First page,5,Maybe,Always,High shipping costs,Never,No,Never,No,4,Sometimes,3,4,Wide product selection,Product quality and accuracy,782908
2023/06/06 9:08:39 PM GMT+5:30,28,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Filter,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Sometimes,3,Yes,1,1,User-friendly website/app interface,Product quality and accuracy,766670
2023/06/04 8:46:02 PM GMT+5:30,30,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Filter,First page,4,Maybe,Sometimes,High shipping costs,Never,Yes,Rarely,Sometimes,1,Sometimes,3,5,Customer service ,User interface of app,431312
2023/06/11 11:26:54 PM GMT+5:30,4,Male,Few times a month,Clothing and Fashion;others,Sometimes,Few times a month,categories,Multiple pages,4,Yes,Never,High shipping costs,Always,No,Moderately,Sometimes,5,Sometimes,2,4,User-friendly website/app interface,Customer service responsiveness,483973
2023/06/05 10:05:25 PM GMT+5:30,55,Prefer not to say,Once a month,Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Filter,First page,1,Yes,Always,Found a better price elsewhere,Never,Yes,Rarely,Sometimes,2,Yes,5,3,Customer service ,Quality of product is very poor according to the big offers,453669
2023/06/08 5:37:13 PM GMT+5:30,15,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Rarely,others,First page,4,No,Rarely,Changed my mind or no longer need the item,Always,Yes,Rarely,No,4,No,5,4,User-friendly website/app interface,I don't have any problem with Amazon,817831
2023/06/07 12:13:39 PM GMT+5:30,21,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Keyword,First page,4,Yes,Sometimes,High shipping costs,Sometimes,No,Never,Yes,5,Sometimes,2,3,Wide product selection,UI,179106
2023/06/08 5:45:59 PM GMT+5:30,43,Others,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,nan,First page,1,Maybe,Sometimes,others,Often,No,Moderately,Yes,4,Sometimes,5,3,Customer service ,Shipping speed and reliability,311604
2023/06/06 6:43:02 PM GMT+5:30,51,Prefer not to say,Few times a month,Beauty and Personal Care;others,Yes,Rarely,others,Multiple pages,4,Maybe,Never,Found a better price elsewhere,Rarely,Yes,Heavily,No,3,Yes,3,4,Quick delivery,Add more familiar brands to the list,608787
2023/06/05 10:36:38 AM GMT+5:30,61,Others,Less than once a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a month,Filter,Multiple pages,2,Yes,Always,Found a better price elsewhere,Often,No,Rarely,Yes,5,Yes,1,1,.,Irrelevant product suggestions,246116
2023/06/07 6:29:14 PM GMT+5:30,22,Prefer not to say,Less than once a month,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Filter,First page,1,No,Never,Changed my mind or no longer need the item,Rarely,Yes,Never,Yes,3,Yes,3,1,Customer service,better app interface and lower shipping charges,520191
2023/06/08 10:13:41 PM GMT+5:30,15,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,others,First page,2,No,Never,High shipping costs,Often,Yes,Heavily,Yes,5,Yes,4,4,Quick delivery,Scrolling option would be much better than going to next page,319491
2023/06/09 4:30:15 PM GMT+5:30,38,Male,Multiple times a week,Beauty and Personal Care;others,Yes,Few times a week,Keyword,First page,1,Yes,Often,High shipping costs,Rarely,Yes,Never,Sometimes,4,Yes,3,4,User-friendly website/app interface,Reducing packaging waste,145240
2023/06/04 8:01:45 PM GMT+5:30,17,Prefer not to say,Few times a month,Home and Kitchen;others,Yes,Rarely,others,First page,4,Yes,Often,others,Often,No,Never,No,5,No,2,5,Wide product selection,UI,551612
2023/06/07 9:18:55 PM GMT+5:30,4,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,nan,Multiple pages,4,Yes,Sometimes,High shipping costs,Never,Yes,Moderately,Sometimes,2,Yes,1,4,Quick delivery,User interface ,752496
2023/06/07 6:20:00 PM GMT+5:30,22,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Rarely,nan,Multiple pages,1,Maybe,Rarely,High shipping costs,Rarely,Yes,Never,Sometimes,2,Yes,5,5,Quick delivery,Nil,455078
2023/06/07 11:54:03 AM GMT+5:30,55,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,nan,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Often,No,Occasionally,No,2,Yes,4,1,User-friendly website/app interface,No problems with Amazon,415292
2023/06/07 6:28:35 PM GMT+5:30,62,Male,Multiple times a week,Clothing and Fashion;Home and Kitchen,Yes,Few times a week,nan,First page,2,Maybe,Rarely,Changed my mind or no longer need the item,Always,No,Heavily,No,3,No,5,5,Product recommendations,Shipping speed and reliability,519938
2023/06/08 5:32:12 PM GMT+5:30,42,Female,Less than once a month,Home and Kitchen;others,Yes,Rarely,nan,First page,2,No,Always,High shipping costs,Sometimes,No,Rarely,Yes,3,No,2,2,Competitive prices,No problems with Amazon,321633
2023/06/05 8:52:01 PM GMT+5:30,30,Male,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Filter,Multiple pages,1,No,Rarely,Changed my mind or no longer need the item,Rarely,Yes,Heavily,Yes,4,No,5,1,Competitive prices,Reducing packaging waste,527001
2023/06/08 8:26:58 PM GMT+5:30,51,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Rarely,nan,First page,3,No,Sometimes,others,Never,No,Moderately,Sometimes,4,Sometimes,2,1,Competitive prices,I don't have any problem with Amazon,204382
2023/06/12 3:54:44 PM GMT+5:30,32,Prefer not to say,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Filter,First page,2,No,Often,Found a better price elsewhere,Sometimes,Yes,Rarely,Sometimes,1,Yes,3,5,All the above,Nothing,140517
2023/06/08 10:41:11 PM GMT+5:30,63,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Filter,First page,5,Yes,Rarely,Changed my mind or no longer need the item,Rarely,No,Moderately,Yes,2,No,2,5,All the above,User interface ,382761
2023/06/06 9:08:20 PM GMT+5:30,19,Others,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,categories,Multiple pages,4,No,Never,Found a better price elsewhere,Always,No,Rarely,Yes,5,Yes,2,2,Competitive prices,User interface of app,277795
2023/06/08 4:29:56 PM GMT+5:30,46,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,First page,2,Yes,Never,others,Often,Yes,Never,No,4,Sometimes,4,1,Customer service,Reducing packaging waste,430506
2023/06/09 10:26:51 AM GMT+5:30,22,Others,Few times a month,others,Yes,Rarely,Keyword,Multiple pages,5,Maybe,Rarely,High shipping costs,Sometimes,Yes,Occasionally,Yes,4,Sometimes,4,5,Competitive prices,Add more familiar brands to the list,480259
2023/06/04 9:10:51 PM GMT+5:30,67,Others,Once a week,Clothing and Fashion,No,Rarely,Filter,Multiple pages,4,Maybe,Never,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,5,Sometimes,4,1,Competitive prices,Add more familiar brands to the list,192057
2023/06/09 10:28:57 AM GMT+5:30,40,Female,Once a month,Home and Kitchen;others,No,Few times a week,Keyword,First page,3,No,Sometimes,High shipping costs,Always,No,Rarely,Yes,5,No,2,2,.,UI,943867
2023/06/08 5:39:54 PM GMT+5:30,4,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,others,Multiple pages,1,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Never,Sometimes,1,No,2,5,Wide product selection,Quality of product is very poor according to the big offers,345611
2023/06/04 7:33:12 PM GMT+5:30,17,Male,Once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a week,categories,Multiple pages,4,Yes,Never,Found a better price elsewhere,Sometimes,No,Never,Sometimes,5,No,3,1,Quick delivery,Quality of product is very poor according to the big offers,922003
2023/06/11 10:51:27 PM GMT+5:30,40,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Keyword,First page,5,No,Sometimes,High shipping costs,Rarely,Yes,Rarely,Yes,4,Yes,3,2,All the above,Customer service responsiveness,408967
2023/06/06 7:02:21 PM GMT+5:30,57,Others,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,No,Multiple times a day,Keyword,Multiple pages,3,No,Rarely,High shipping costs,Often,Yes,Occasionally,Sometimes,3,Sometimes,5,3,Product recommendations,Shipping speed and reliability,666932
2023/06/06 7:12:54 PM GMT+5:30,59,Male,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Rarely,nan,First page,5,Yes,Rarely,High shipping costs,Often,Yes,Moderately,Sometimes,5,Sometimes,3,2,User-friendly website/app interface,.,218337
2023/06/09 10:31:15 AM GMT+5:30,36,Prefer not to say,Less than once a month,others,Sometimes,Rarely,categories,Multiple pages,2,No,Never,others,Always,No,Occasionally,Yes,5,Sometimes,3,1,.,.,562812
